# position,p_value_coverage
1.000000000000000000e+00,1.810500905250452604e-04
2.000000000000000000e+00,2.794206397103198708e-02
3.000000000000000000e+00,1.954133977066988548e-01
4.000000000000000000e+00,5.372963186481592990e-01
5.000000000000000000e+00,7.730235365117682500e-01
6.000000000000000000e+00,6.598068799034400023e-01
7.000000000000000000e+00,3.620398310199154923e-01
8.000000000000000000e+00,8.756789378394688739e-02
9.000000000000000000e+00,5.552202776101387849e-02
1.000000000000000000e+01,1.414001207000603610e-01
1.100000000000000000e+01,4.560651780325890026e-01
1.200000000000000000e+01,7.321665660832830103e-01
1.300000000000000000e+01,8.115872057936028838e-01
1.400000000000000000e+01,5.567290283645142113e-01
1.500000000000000000e+01,2.684369342184670937e-01
1.600000000000000000e+01,1.747736873868437069e-01
1.700000000000000000e+01,1.008449004224502149e-01
1.800000000000000000e+01,9.257694628847314144e-02
1.900000000000000000e+01,1.330718165359082716e-01
2.000000000000000000e+01,2.751357875678938081e-01
2.100000000000000000e+01,3.341581170790585142e-01
2.200000000000000000e+01,5.608328304164151845e-01
2.300000000000000000e+01,5.098370549185274880e-01
2.400000000000000000e+01,3.085093542546771261e-01
2.500000000000000000e+01,2.191309595654797882e-01
2.600000000000000000e+01,2.080265540132769930e-01
2.700000000000000000e+01,1.645141822570911350e-01
2.800000000000000000e+01,1.894990947495473754e-01
2.900000000000000000e+01,2.537718768859384411e-01
3.000000000000000000e+01,6.450211225105612067e-01
3.100000000000000000e+01,9.870247435123717938e-01
3.200000000000000000e+01,6.267350633675317084e-01
3.300000000000000000e+01,2.294508147254073760e-01
3.400000000000000000e+01,1.834640917320458711e-02
3.500000000000000000e+01,8.811104405552203089e-03
3.600000000000000000e+01,9.837054918527458544e-03
3.700000000000000000e+01,4.025347012673506641e-02
3.800000000000000000e+01,6.366928183464092006e-02
3.900000000000000000e+01,3.387447193723596706e-01
4.000000000000000000e+01,6.093542546771273383e-01
4.100000000000000000e+01,9.382619191309595763e-01
4.200000000000000000e+01,9.713337356668678702e-01
4.300000000000000000e+01,9.242607121303560991e-01
4.400000000000000000e+01,9.498491249245624157e-01
4.500000000000000000e+01,7.118286059143029698e-01
4.600000000000000000e+01,4.376584188292094169e-01
4.700000000000000000e+01,2.779722389861195020e-01
4.800000000000000000e+01,3.758599879299939772e-01
4.900000000000000000e+01,3.019312009656004991e-01
5.000000000000000000e+01,1.790585395292697557e-01
5.100000000000000000e+01,1.088714544357272246e-01
5.200000000000000000e+01,6.517803258901629093e-02
5.300000000000000000e+01,2.003621001810500929e-02
5.400000000000000000e+01,2.516596258298129177e-02
5.500000000000000000e+01,7.429088714544357375e-02
5.600000000000000000e+01,1.642727821363910712e-01
5.700000000000000000e+01,2.479782739891369936e-01
5.800000000000000000e+01,2.556427278213639354e-01
5.900000000000000000e+01,2.335546167773083770e-01
6.000000000000000000e+01,1.691007845503922635e-01
6.100000000000000000e+01,1.280024140012069878e-01
6.200000000000000000e+01,5.117682558841279289e-02
6.300000000000000000e+01,5.051297525648763137e-02
6.400000000000000000e+01,4.103802051901025982e-02
6.500000000000000000e+01,1.623415811707906026e-02
6.600000000000000000e+01,2.655401327700663856e-03
6.700000000000000000e+01,8.449004224502111972e-04
6.800000000000000000e+01,3.017501508750754431e-04
6.900000000000000000e+01,2.414001207000603382e-04
7.000000000000000000e+01,6.638503319251659639e-04
7.100000000000000000e+01,2.051901025950513078e-03
7.200000000000000000e+01,1.635485817742908868e-02
7.300000000000000000e+01,4.315027157513579015e-02
7.400000000000000000e+01,8.153289076644539002e-02
7.500000000000000000e+01,8.497284248642124338e-02
7.600000000000000000e+01,2.089318044659022322e-01
7.700000000000000000e+01,1.430899215449607798e-01
7.800000000000000000e+01,9.704284852142426587e-02
7.900000000000000000e+01,4.538322269161134542e-02
8.000000000000000000e+01,7.857573928786965034e-02
8.100000000000000000e+01,3.252866626433312952e-02
8.200000000000000000e+01,1.062764031382015667e-01
8.300000000000000000e+01,2.421846710923355461e-01
8.400000000000000000e+01,4.103802051901025982e-01
8.500000000000000000e+01,3.493059746529873499e-01
8.600000000000000000e+01,4.983705491852745695e-01
8.700000000000000000e+01,4.167773083886541774e-01
8.800000000000000000e+01,1.732649366324683082e-01
8.900000000000000000e+01,8.002414001207000527e-02
9.000000000000000000e+01,2.999396499698249799e-02
9.100000000000000000e+01,2.395896197948099021e-02
9.200000000000000000e+01,1.122510561255280620e-02
9.300000000000000000e+01,2.257091128545564429e-02
9.400000000000000000e+01,2.468316234158117115e-02
9.500000000000000000e+01,6.940253470126735158e-02
9.600000000000000000e+01,7.417018708509354186e-02
9.700000000000000000e+01,4.749547374773687575e-02
9.800000000000000000e+01,5.165962582981291351e-02
9.900000000000000000e+01,3.693421846710923107e-02
1.000000000000000000e+02,1.544960772480386164e-02
1.010000000000000000e+02,2.432106216053107894e-02
1.020000000000000000e+02,5.105612552806276100e-02
1.030000000000000000e+02,3.621001810500905360e-02
1.040000000000000000e+02,5.908267954133977068e-02
1.050000000000000000e+02,5.944477972238985941e-02
1.060000000000000000e+02,3.132166566083283143e-02
1.070000000000000000e+02,3.005431502715751393e-02
1.080000000000000000e+02,1.393482196741098467e-01
1.090000000000000000e+02,2.044055522027760918e-01
1.100000000000000000e+02,8.616173808086904362e-01
