# position,p_value_total
1.000000000000000000e+00,1.744221135856116947e-02
1.000000000000000000e+00,2.721950630695877879e-02
1.000000000000000000e+00,9.053050878145934427e-03
2.000000000000000000e+00,1.041704387711992336e-01
2.000000000000000000e+00,8.449514152936206000e-04
2.000000000000000000e+00,2.697809161687488716e-02
3.000000000000000000e+00,5.390186492848090261e-01
3.000000000000000000e+00,7.022753334540406955e-01
3.000000000000000000e+00,7.145874826483190889e-02
4.000000000000000000e+00,8.266642525197658298e-01
4.000000000000000000e+00,5.516325668416922900e-02
4.000000000000000000e+00,3.713561470215462346e-01
5.000000000000000000e+00,8.946224877783812701e-01
5.000000000000000000e+00,8.352948276902649738e-02
5.000000000000000000e+00,5.581507634739574231e-01
6.000000000000000000e+00,7.792262659182811468e-01
6.000000000000000000e+00,1.109904037660691678e-01
6.000000000000000000e+00,8.087995654535578005e-01
7.000000000000000000e+00,4.327358319753756843e-01
7.000000000000000000e+00,1.394169835234474082e-02
7.000000000000000000e+00,2.202305510290301083e-01
8.000000000000000000e+00,6.977488080149677474e-01
8.000000000000000000e+00,5.328625746876697322e-01
8.000000000000000000e+00,3.501116542941637988e-01
9.000000000000000000e+00,3.851167843563280679e-01
9.000000000000000000e+00,6.544148711449091493e-01
9.000000000000000000e+00,3.988774216911099013e-01
1.000000000000000000e+01,5.390186492848090261e-01
1.000000000000000000e+01,7.779588387953406681e-01
1.000000000000000000e+01,6.548373468525560404e-02
1.100000000000000000e+01,2.590983161325366435e-01
1.100000000000000000e+01,2.233085883275997413e-02
1.100000000000000000e+01,2.522783511376667231e-01
1.200000000000000000e+01,9.182811274066027263e-01
1.200000000000000000e+01,9.525016597259943207e-01
1.200000000000000000e+01,4.906753575955096619e-02
1.300000000000000000e+01,9.663830044058181468e-01
1.300000000000000000e+01,7.918401834751644108e-02
1.300000000000000000e+01,6.407145874826483123e-01
1.400000000000000000e+01,2.380952380952380820e-01
1.400000000000000000e+01,2.193855996137364928e-01
1.400000000000000000e+01,6.839278170076649177e-01
1.500000000000000000e+01,3.692437684833121958e-01
1.500000000000000000e+01,5.354577826060715751e-01
1.500000000000000000e+01,6.021485907417466477e-01
1.600000000000000000e+01,3.959804454101031879e-01
1.600000000000000000e+01,5.163256684169231781e-01
1.600000000000000000e+01,7.928661959080209876e-01
1.700000000000000000e+01,1.674210875731788339e-01
1.700000000000000000e+01,8.400024141469007999e-01
1.700000000000000000e+01,4.235620737521877954e-01
1.800000000000000000e+01,3.836682962158247112e-01
1.800000000000000000e+01,3.119681332609089419e-01
1.800000000000000000e+01,8.233448005311123641e-01
1.900000000000000000e+01,4.405818094031021537e-01
1.900000000000000000e+01,2.610296336532078043e-01
1.900000000000000000e+01,6.566479570281851252e-01
2.000000000000000000e+01,3.970064578429597368e-01
